molecule_chembl_id,cleaned_canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4289862,O=C(N/N=C/c1cccc(Br)c1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,active,468.2860000000001,5.4124000000000025,3.0,4.0,6.180456064458132
CHEMBL4281990,O=C(N/N=C/c1ccccc1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,active,389.39000000000004,4.649900000000002,3.0,4.0,6.1938200260161125
CHEMBL4293842,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,416.3970000000001,4.419000000000002,3.0,6.0,5.335358024443875
CHEMBL4290437,O=C(N/N=C/c1ccc(O)cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,inactive,387.39900000000006,4.216400000000002,4.0,5.0,4.491874463916801
CHEMBL4279097,COc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)cc1,intermediate,401.42600000000004,4.519400000000003,3.0,5.0,5.011441043121384
CHEMBL4287025,COc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)c(OC)c1OC,intermediate,461.4780000000002,4.536600000000003,3.0,7.0,5.528708288941061
CHEMBL4295029,CN(C)CCn1cccc1/C=N/NC(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,449.4900000000002,4.013000000000002,3.0,6.0,5.0467236633326955
CHEMBL4287103,O=C(N/N=C/c1cccn1CCN1CCOCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,inactive,491.52700000000004,3.7836000000000025,3.0,7.0,4.924453038607469
CHEMBL4276862,CCN(CC)CCn1cccc1/C=N/NC(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,459.5540000000002,4.654100000000003,3.0,6.0,5.230622673923861
CHEMBL4288202,O=C(N/N=C/c1cccn1CCN1CCOCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,473.53700000000003,3.6445000000000016,3.0,7.0,5.002613615602686
CHEMBL4280296,CCN(CC)CCCn1cccc1/C=N/NC(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,491.5710000000002,5.183300000000004,3.0,6.0,5.669586226650809
CHEMBL4277937,O=C(N/N=C/c1cccn1CCCN1CCCCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,503.58200000000005,5.327400000000004,3.0,6.0,5.546681659952962
